num_cpus,injection_rate,host_seconds
16,0.01,0.47
16,0.05,0.6
16,0.1,0.85
16,0.15,0.99
16,0.2,1.0
64,0.01,1.92
64,0.05,2.92
64,0.1,3.68
64,0.15,4.85
64,0.2,5.23
16,0.01,0.46
16,0.05,0.68
16,0.1,0.8
16,0.15,0.94
16,0.2,0.99
64,0.01,2.02
64,0.05,2.76
64,0.1,4.09
64,0.15,4.86
64,0.2,5.9
16,0.01,0.45
16,0.05,0.61
16,0.1,0.73
16,0.15,0.84
16,0.2,0.93
64,0.01,1.97
64,0.05,2.78
64,0.1,3.95
64,0.15,4.59
64,0.2,5.56
16,0.01,0.49
16,0.05,0.56
16,0.1,0.79
16,0.15,0.96
16,0.2,0.97
64,0.01,2.11
64,0.05,2.93
64,0.1,3.98
64,0.15,4.44
64,0.2,5.53
16,0.01,0.45
16,0.05,0.66
16,0.1,0.82
16,0.15,1.0
16,0.2,1.19
64,0.01,2.02
64,0.05,2.76
64,0.1,4.06
64,0.15,5.12
64,0.2,5.87
16,0.01,0.65
16,0.05,0.9
16,0.1,1.13
16,0.15,1.24
16,0.2,1.46
64,0.01,2.5
64,0.05,3.34
64,0.1,4.48
64,0.15,5.26
64,0.2,6.1
16,0.01,0.64
16,0.05,0.89
16,0.1,1.07
16,0.15,1.27
16,0.2,1.42
64,0.01,2.38
64,0.05,3.27
64,0.1,4.28
64,0.15,5.08
64,0.2,6.06
16,0.01,0.48
16,0.05,0.61
16,0.1,0.83
16,0.15,0.93
16,0.2,1.17
64,0.01,2.1
64,0.05,2.95
64,0.1,4.38
64,0.15,4.95
64,0.2,5.37
16,0.01,0.55
16,0.05,4.4
16,0.1,11.12
16,0.15,21.8
16,0.2,29.0
64,0.01,1.88
64,0.05,24.17
64,0.1,55.02
64,0.15,68.61
64,0.2,71.26
16,0.01,0.38
16,0.05,3.92
16,0.1,10.76
16,0.15,20.73
16,0.2,29.73
64,0.01,2.27
64,0.05,24.37
64,0.1,54.57
64,0.15,67.45
64,0.2,71.86
16,0.01,0.42
16,0.05,4.23
16,0.1,11.17
16,0.15,20.46
16,0.2,29.73
64,0.01,2.22
64,0.05,23.89
64,0.1,55.1
64,0.15,67.66
64,0.2,72.35
16,0.01,0.45
16,0.05,4.16
16,0.1,11.08
16,0.15,19.86
16,0.2,29.29
64,0.01,1.97
64,0.05,25.34
64,0.1,55.73
64,0.15,69.92
64,0.2,71.2
16,0.01,0.33
16,0.05,3.7
16,0.1,11.62
16,0.15,20.17
16,0.2,29.73
64,0.01,2.27
64,0.05,23.85
64,0.1,63.67
64,0.15,71.71
64,0.2,78.29
16,0.01,0.35
16,0.05,3.51
16,0.1,11.18
16,0.15,21.76
16,0.2,30.0
64,0.01,2.32
64,0.05,27.93
64,0.1,55.34
64,0.15,67.38
64,0.2,70.43
16,0.01,0.38
16,0.05,3.65
16,0.1,10.83
16,0.15,20.89
16,0.2,30.14
64,0.01,2.62
64,0.05,26.67
64,0.1,54.34
64,0.15,66.53
64,0.2,70.94
16,0.01,0.49
16,0.05,2.67
16,0.1,11.4
16,0.15,19.92
16,0.2,28.07
64,0.01,2.45
64,0.05,25.43
64,0.1,55.8
64,0.15,68.36
64,0.2,74.28
16,0.01,0.39
16,0.05,3.61
16,0.1,11.15
16,0.15,20.49
16,0.2,61.62
16,0.01,0.39
16,0.05,3.59
16,0.01,0.4
16,0.05,4.64
16,0.1,9.72
16,0.15,19.38
16,0.2,28.67
64,0.01,1.79
64,0.05,23.85
64,0.1,54.23
64,0.15,71.12
64,0.2,71.14
16,0.01,0.49
16,0.05,3.71
16,0.1,10.87
16,0.15,19.39
16,0.2,28.3
64,0.01,1.5
64,0.05,23.33
64,0.1,53.75
64,0.15,66.43
64,0.2,70.07
